,data_representations,K1,B,factors,regularization,iterations,alpha,precision_at_k,map_at_k,ndcg_at_k
44,Raw,,,9,0.02,30,1,0.27614725147391084,0.17426627067490608,0.26463303184100634
45,Raw,,,10,0.005,10,1,0.2840364955371334,0.17720628140086953,0.2691501406976952
46,Raw,,,10,0.005,15,1,0.27472005306025216,0.16960875099604636,0.25984741087177216
47,Raw,,,10,0.005,30,1,0.26195210539684466,0.16409004776272412,0.25093184081368997
48,Raw,,,10,0.01,10,1,0.2687584170827314,0.16684158663306795,0.25552469065375333
49,Raw,,,10,0.01,15,1,0.28070375307904705,0.17648306745799097,0.2654477495145854
50,Raw,,,10,0.01,30,1,0.26676861632742854,0.1652732181943084,0.2530544035634482
51,Raw,,,10,0.02,10,1,0.27642503568576204,0.17237803434520993,0.26242450576224996
52,Raw,,,10,0.02,15,1,0.2700324994091484,0.16514000844165275,0.253480551184217
53,Raw,,,10,0.02,30,1,0.2802882194963121,0.17721110512346994,0.26841963841360766
54,Raw,,,15,0.005,10,1,0.26885127922517493,0.1665517042467946,0.2564005264203562
55,Raw,,,15,0.005,15,1,0.28142397903413147,0.17272205060183493,0.2663587355216138
56,Raw,,,15,0.005,30,1,0.2527089670121115,0.150389188305772,0.23808993837370998
57,Raw,,,15,0.01,10,1,0.27309052248606935,0.16567780756313982,0.25643564120269086
58,Raw,,,15,0.01,15,1,0.2799178065404991,0.17118977462375534,0.2636650256189406
59,Raw,,,15,0.01,30,1,0.2688957106616193,0.16433336785981525,0.254155981218505
60,Raw,,,15,0.02,10,1,0.27237649268397546,0.1679137923823683,0.25994071769197924
61,Raw,,,15,0.02,15,1,0.27263140168800026,0.16648027852065472,0.2590167745153941
62,Raw,,,15,0.02,30,1,0.27829026728154294,0.17261827575611827,0.26645163371111064
63,Normalized,,,3,0.005,10,1,0.32739250444087015,0.21943803505724135,0.31163656003407664
64,Normalized,,,3,0.005,15,1,0.33375850845702953,0.22688950223146268,0.321995749640496
65,Normalized,,,3,0.005,30,1,0.32448046047360896,0.21882629592111033,0.3105946996926544
66,Normalized,,,3,0.01,10,1,0.32879001388175944,0.2201284681940839,0.3128910122929982
67,Normalized,,,3,0.01,15,1,0.33566621949546877,0.22888819731873547,0.32395085653138217
68,Normalized,,,3,0.01,30,1,0.33424526307925595,0.22556664999171366,0.31836141914505367
69,Normalized,,,3,0.02,10,1,0.32952937183935105,0.22246353645242797,0.31464015449814
70,Normalized,,,3,0.02,15,1,0.3397764810324985,0.2328259811194556,0.32771679918410995
71,Normalized,,,3,0.02,30,1,0.3425748747645808,0.23427105645587104,0.32745177928566277
72,Normalized,,,6,0.005,10,1,0.32057901139813133,0.2145611999161618,0.3090543143728171
73,Normalized,,,6,0.005,15,1,0.32829616269423395,0.22130533152627802,0.3156091433759449
74,Normalized,,,6,0.005,30,1,0.3204119748528852,0.21282897032876208,0.3084731148326074
75,Normalized,,,6,0.01,10,1,0.3276946803052989,0.21945090097290715,0.3144681192730886
76,Normalized,,,6,0.01,15,1,0.3315926002711828,0.21816423893966091,0.3145315459027982
77,Normalized,,,6,0.01,30,1,0.3201602426595122,0.21604962572516584,0.3106646641116151
78,Normalized,,,6,0.02,10,1,0.34105134925039804,0.2305215892107711,0.3297334603021973
