,data_representations,K1,B,factors,regularization,iterations,alpha,precision_at_k,map_at_k,ndcg_at_k,number_of_skills
21,Raw,,,1,0.03,30,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
22,Raw,,,1,0.03,45,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
23,Raw,,,1,0.03,45,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
24,Raw,,,2,0.005,15,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
25,Raw,,,2,0.005,15,2,0.48792331061257865,0.38226503202201007,0.4726287548450115,735
26,Raw,,,2,0.005,30,1,0.48851518179454106,0.38502311638203135,0.47250119496309007,735
27,Raw,,,2,0.005,30,2,0.48792331061257865,0.38211360030192537,0.4724839270860121,735
28,Raw,,,2,0.005,45,1,0.48851518179454106,0.38502311638203135,0.47250119496309007,735
29,Raw,,,2,0.005,45,2,0.48780593972055986,0.3820264068414349,0.4724124256813732,735
30,Raw,,,2,0.01,15,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
31,Raw,,,2,0.01,15,2,0.48792331061257865,0.3822861960431741,0.47263661901026566,735
32,Raw,,,2,0.01,30,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
33,Raw,,,2,0.01,30,2,0.48792331061257865,0.38211360030192537,0.4724839270860121,735
34,Raw,,,2,0.01,45,1,0.48851518179454106,0.38502311638203135,0.47250119496309007,735
35,Raw,,,2,0.01,45,2,0.48780593972055986,0.3820264068414349,0.4724124256813732,735
36,Raw,,,2,0.02,15,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
37,Raw,,,2,0.02,15,2,0.48792331061257865,0.3823073042225936,0.47264446242574343,735
38,Raw,,,2,0.02,30,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
39,Raw,,,2,0.02,30,2,0.48792331061257865,0.38211360030192537,0.4724839270860121,735
40,Raw,,,2,0.02,45,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
41,Raw,,,2,0.02,45,2,0.48780593972055986,0.3820264068414349,0.4724124256813732,735
42,Raw,,,2,0.03,15,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
43,Raw,,,2,0.03,15,2,0.48792331061257865,0.3823073042225936,0.47264446242574343,735
44,Raw,,,2,0.03,30,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
45,Raw,,,2,0.03,30,2,0.48792331061257865,0.38211360030192537,0.4724839270860121,735
46,Raw,,,2,0.03,45,1,0.48863255268655975,0.3851321082076445,0.4725726963677289,735
47,Raw,,,2,0.03,45,2,0.48780593972055986,0.3820264068414349,0.4724124256813732,735
48,Raw,,,3,0.005,15,1,0.5093905672047923,0.40362835536407726,0.4920166862988811,735
49,Raw,,,3,0.005,15,2,0.5084544220750983,0.4008038522644964,0.4912047289619781,735
50,Raw,,,3,0.005,30,1,0.5093905672047923,0.40360650741294873,0.49201249134621144,735
51,Raw,,,3,0.005,30,2,0.5088055728557841,0.4011621764818871,0.4917147684697971,735
52,Raw,,,3,0.005,45,1,0.5093905672047923,0.40360650741294873,0.49201249134621144,735
53,Raw,,,3,0.005,45,2,0.5088055728557841,0.40122220694970584,0.49174753383072256,735
54,Raw,,,3,0.01,15,1,0.5093905672047923,0.40362835536407726,0.4920166862988811,735
55,Raw,,,3,0.01,15,2,0.508337326056363,0.4007304658807652,0.49114646940843515,735
56,Raw,,,3,0.01,30,1,0.5093905672047923,0.40360650741294873,0.49201249134621144,735
57,Raw,,,3,0.01,30,2,0.5088055728557841,0.4011621764818871,0.4917147684697971,735
58,Raw,,,3,0.01,45,1,0.5093905672047923,0.40360650741294873,0.49201249134621144,735
59,Raw,,,3,0.01,45,2,0.5088055728557841,0.4011797666314035,0.4917271757272082,735
60,Raw,,,3,0.02,15,1,0.5095076632235276,0.40376464160892295,0.49210664664592213,735
61,Raw,,,3,0.02,15,2,0.508337326056363,0.4007835162786432,0.49118250013251563,735
62,Raw,,,3,0.02,30,1,0.509507938096811,0.40368863622131573,0.49207950094398034,735
63,Raw,,,3,0.02,30,2,0.5088055728557841,0.4011621764818871,0.4917147684697971,735
64,Raw,,,3,0.02,45,1,0.509507938096811,0.40368863622131573,0.49207950094398034,735
65,Raw,,,3,0.02,45,2,0.5088055728557841,0.4011797666314035,0.4917271757272082,735
66,Raw,,,3,0.03,15,1,0.5095076632235276,0.4037918895653262,0.49211945959022413,735
67,Raw,,,3,0.03,15,2,0.508337326056363,0.4007835162786432,0.49118250013251563,735
68,Raw,,,3,0.03,30,1,0.509507938096811,0.40368863622131573,0.49207950094398034,735
