,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
67,Normalized,,,3,0.01,15,0.33566621949546877,0.22888819731873547
68,Normalized,,,3,0.01,30,0.33424526307925595,0.22556664999171366
69,Normalized,,,3,0.02,10,0.32952937183935105,0.22246353645242797
70,Normalized,,,3,0.02,15,0.3397764810324985,0.2328259811194556
71,Normalized,,,3,0.02,30,0.3425748747645808,0.23427105645587104
72,Normalized,,,6,0.005,10,0.32057901139813133,0.2145611999161618
73,Normalized,,,6,0.005,15,0.32829616269423395,0.22130533152627802
74,Normalized,,,6,0.005,30,0.3204119748528852,0.21282897032876208
75,Normalized,,,6,0.01,10,0.3276946803052989,0.21945090097290715
76,Normalized,,,6,0.01,15,0.3315926002711828,0.21816423893966091
77,Normalized,,,6,0.01,30,0.3201602426595122,0.21604962572516584
78,Normalized,,,6,0.02,10,0.34105134925039804,0.2305215892107711
79,Normalized,,,6,0.02,15,0.34630672786697897,0.23320383266693073
80,Normalized,,,6,0.02,30,0.3420104738656693,0.23333135638330696
81,Normalized,,,7,0.005,10,0.31301139774825704,0.2056428779239699
82,Normalized,,,7,0.005,15,0.3273100627759694,0.21784090265516537
83,Normalized,,,7,0.005,30,0.3208312493712089,0.2138750780037185
84,Normalized,,,7,0.01,10,0.3067319764201939,0.2018317325733104
85,Normalized,,,7,0.01,15,0.3243890086260621,0.21893554054255054
86,Normalized,,,7,0.01,30,0.3229459120318413,0.21454546724485826
87,Normalized,,,7,0.02,10,0.313945787492417,0.2047038831107743
88,Normalized,,,7,0.02,15,0.34280674146441364,0.23680702741532014
89,Normalized,,,7,0.02,30,0.3329442451701349,0.22106632587613834
90,Normalized,,,8,0.005,10,0.3031860179577216,0.20025604830940705
91,Normalized,,,8,0.005,15,0.31091667167078874,0.20447216109472838
92,Normalized,,,8,0.005,30,0.3149842735321793,0.20452761514296283
93,Normalized,,,8,0.01,10,0.2956944873951935,0.19361209436141108
94,Normalized,,,8,0.01,15,0.318211193808206,0.2137180512629528
95,Normalized,,,8,0.01,30,0.32417637924347675,0.21285273657839268
96,Normalized,,,8,0.02,10,0.3098917150481849,0.204801804354335
97,Normalized,,,8,0.02,15,0.3394702753579209,0.22776315705621014
98,Normalized,,,8,0.02,30,0.3441019081296887,0.23077239841503056
99,Normalized,,,9,0.005,10,0.28973136081799683,0.19099038853688
100,Normalized,,,9,0.005,15,0.3100858440548356,0.20525141199229774
101,Normalized,,,9,0.005,30,0.32363543216358504,0.21169354185425115
102,Normalized,,,9,0.01,10,0.3032958181104973,0.2014230384362306
103,Normalized,,,9,0.01,15,0.326650208881665,0.2168757718684068
104,Normalized,,,9,0.01,30,0.32250227645355445,0.21194477183258767
105,Normalized,,,9,0.02,10,0.2986152782835959,0.19724025531065195
106,Normalized,,,9,0.02,15,0.3318234609342829,0.22112680694930872
107,Normalized,,,9,0.02,30,0.32674403348710584,0.2167704678210738
108,Normalized,,,10,0.005,10,0.29498738167672633,0.1882535977727998
109,Normalized,,,10,0.005,15,0.31348764360258297,0.20527737035030208
110,Normalized,,,10,0.005,30,0.3087119925549197,0.203277005456951
111,Normalized,,,10,0.01,10,0.3079206865322445,0.20022808432174605
112,Normalized,,,10,0.01,15,0.32302869183708294,0.21042817418911008
113,Normalized,,,10,0.01,30,0.31627503650690264,0.20493998493259272
114,Normalized,,,10,0.02,10,0.3041486523546978,0.19699708520530906
115,Normalized,,,10,0.02,15,0.32538465319339327,0.21676908591226285
116,Normalized,,,10,0.02,30,0.33157993105609823,0.22263950473162114
117,Normalized,,,15,0.005,10,0.2906412485086708,0.1854255481443349
118,Normalized,,,15,0.005,15,0.29775732210048533,0.1935643011684655
119,Normalized,,,15,0.005,30,0.3254140764227572,0.2074231546522145
120,Normalized,,,15,0.01,10,0.28395223878331605,0.18297470342896344
121,Normalized,,,15,0.01,15,0.3065019244221996,0.1992883358791207
122,Normalized,,,15,0.01,30,0.3246285614906849,0.21197061452049643
123,Normalized,,,15,0.02,10,0.30542724881205957,0.19768571277518004
124,Normalized,,,15,0.02,15,0.3056763953905043,0.19904541430479403
125,Normalized,,,15,0.02,30,0.3254214357094483,0.21521292471947234
126,tfidf,,,3,0.005,10,0.1272350406490527,0.07030762801707549
127,tfidf,,,3,0.005,15,0.1495164204774631,0.0842099610137361
128,tfidf,,,3,0.005,30,0.14766083404117006,0.08252491743995696
129,tfidf,,,3,0.01,10,0.13184723730928644,0.07291574069604448
130,tfidf,,,3,0.01,15,0.14742268449672452,0.08364638451919015
131,tfidf,,,3,0.01,30,0.14930951748450694,0.08472916549758654
132,tfidf,,,3,0.02,10,0.13219551648889316,0.07414734885606233
133,tfidf,,,3,0.02,15,0.14614373447528603,0.08344613323410348
134,tfidf,,,3,0.02,30,0.15037786019703184,0.08557078780407538
135,tfidf,,,6,0.005,10,0.16691100424499544,0.09757875000115718
136,tfidf,,,6,0.005,15,0.1817614806455271,0.10696853895828558
137,tfidf,,,6,0.005,30,0.18236594574294035,0.10448366794883461
138,tfidf,,,6,0.01,10,0.16616285505349343,0.09719321925361665
139,tfidf,,,6,0.01,15,0.18257378794161552,0.10652597497482472
140,tfidf,,,6,0.01,30,0.1782187114462947,0.10189213180061078
