,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
64,Normalized,,,3,0.005,15,0.4669528406133412,0.3584660700586638
65,Normalized,,,3,0.005,30,0.4249932061999161,0.3206108240362686
66,Normalized,,,3,0.01,10,0.47563910931417297,0.3695074818649919
67,Normalized,,,3,0.01,15,0.46684696312635027,0.3589349719700543
68,Normalized,,,3,0.01,30,0.4248771883843325,0.3202063820532273
69,Normalized,,,3,0.02,10,0.47398540257336075,0.3694761272307804
70,Normalized,,,3,0.02,15,0.46591311541494934,0.3597555675246205
71,Normalized,,,3,0.02,30,0.4253513806455544,0.3226056089787813
72,Normalized,,,6,0.005,10,0.4808323185229114,0.37916990770352876
73,Normalized,,,6,0.005,15,0.4919643845663731,0.38907441066809295
74,Normalized,,,6,0.005,30,0.46293745967596117,0.3571232927847035
75,Normalized,,,6,0.01,10,0.47848044760306685,0.37632830721966243
76,Normalized,,,6,0.01,15,0.49124535483382836,0.38741121969539793
77,Normalized,,,6,0.01,30,0.46034268704031706,0.3560824159728554
78,Normalized,,,6,0.02,10,0.47120540408785033,0.3696694444892097
79,Normalized,,,6,0.02,15,0.4862507217543458,0.3819119395115173
80,Normalized,,,6,0.02,30,0.46304986424258593,0.3578578378579144
81,Normalized,,,7,0.005,10,0.47938818122989935,0.37560339773823065
82,Normalized,,,7,0.005,15,0.485899386174862,0.38038962687697514
83,Normalized,,,7,0.005,30,0.4600266925709054,0.35625669635358614
84,Normalized,,,7,0.01,10,0.4782221767684655,0.37455603055255543
85,Normalized,,,7,0.01,15,0.48225968013954856,0.37732673588660204
86,Normalized,,,7,0.01,30,0.46108657985329843,0.3567154119361336
87,Normalized,,,7,0.02,10,0.4746877294697847,0.3710341923962743
88,Normalized,,,7,0.02,15,0.4795734971484931,0.3735149808761475
89,Normalized,,,7,0.02,30,0.4617791129955194,0.3588760374353656
90,Normalized,,,8,0.005,10,0.4787908747303701,0.3715270132959983
91,Normalized,,,8,0.005,15,0.4797190028581458,0.3756483430056183
92,Normalized,,,8,0.005,30,0.4655197610183467,0.35861263292150586
93,Normalized,,,8,0.01,10,0.4745731169918484,0.36827396216202235
94,Normalized,,,8,0.01,15,0.47701323328205375,0.3721748579728909
95,Normalized,,,8,0.01,30,0.465389808342071,0.3585594761375145
96,Normalized,,,8,0.02,10,0.47046690040218975,0.365024007148086
97,Normalized,,,8,0.02,15,0.4737406888620502,0.3671643047218181
98,Normalized,,,8,0.02,30,0.4617434021576881,0.35425908994919186
99,Normalized,,,9,0.005,10,0.48322020053207,0.37977079363859556
100,Normalized,,,9,0.005,15,0.49707818795667735,0.39245461250014924
101,Normalized,,,9,0.005,30,0.48371746262869825,0.3752855688050616
102,Normalized,,,9,0.01,10,0.4814464664603932,0.37717126626738445
103,Normalized,,,9,0.01,15,0.4943783346291896,0.38914439845858684
104,Normalized,,,9,0.01,30,0.478904453635392,0.3718473574095592
