factors,alpha,regularization,iterations,p_at_k_mean,map_at_k_mean,ndcg_at_k_mean
70,1.0,0.005,20,0.1858514541460984,0.09946204620462043,0.16549554137840122
70,1.0,0.01,20,0.18457000662659673,0.09979867986798675,0.1652880769696224
70,1.0,0.02,20,0.18288775008430835,0.09876897689768974,0.1636058725084512
70,1.5,0.005,20,0.18074405503864802,0.09876072607260723,0.1625175303702486
70,1.5,0.01,20,0.18180756309126184,0.09858745874587456,0.1627596437195069
70,1.5,0.02,20,0.18256108405410082,0.09897854785478545,0.1637640394714682
5,0.5,0.005,30,0.47624730530956483,0.3738960396039605,0.45601505775706036
5,0.5,0.01,30,0.4742510303947475,0.3717256600660067,0.4540877314265662
5,0.5,0.02,30,0.4763632510737999,0.373512788778878,0.4561315104726977
5,1.0,0.005,30,0.46587490755318456,0.3613737623762377,0.4433787448249525
5,1.0,0.01,30,0.4672491532900609,0.3627450495049505,0.44452848555189556
5,1.0,0.02,30,0.4651442445820291,0.3606757425742575,0.4428255287479268
5,1.5,0.005,30,0.46195878061174517,0.3538671617161717,0.4359295256105039
5,1.5,0.01,30,0.4629108745792032,0.35492986798679876,0.43699651608823464
5,1.5,0.02,30,0.4624813321247357,0.3548622112211222,0.4365589707314369
10,0.5,0.005,30,0.4100717214117114,0.30150453795379545,0.3875144698613952
10,0.5,0.01,30,0.40902527462481236,0.30151443894389446,0.38717729993730243
10,0.5,0.02,30,0.41050870796431915,0.3022050330033004,0.38797788794655597
10,1.0,0.005,30,0.41555052704102385,0.3063477722772278,0.39884056150993946
10,1.0,0.01,30,0.4160753050365396,0.30664150165016507,0.39915757421550335
10,1.0,0.02,30,0.4161801577451624,0.3074880363036304,0.39950311782443515
10,1.5,0.005,30,0.40041250648969057,0.2945837458745875,0.387261988210963
10,1.5,0.01,30,0.40114888747278604,0.29502764026402645,0.38777751269087474
10,1.5,0.02,30,0.4023174984321852,0.29645668316831686,0.38926413875685356
20,0.5,0.005,30,0.3486773119519044,0.2454291804180418,0.3289960153752095
20,0.5,0.01,30,0.35142555322749447,0.24533677117711772,0.3307525578557949
20,0.5,0.02,30,0.3528914249049612,0.24721438393839382,0.3321056372522959
20,1.0,0.005,30,0.33179668649922844,0.2258151815181518,0.3141921333848496
20,1.0,0.01,30,0.33359534984506267,0.22801485148514852,0.3161120759405842
20,1.0,0.02,30,0.3308224457775602,0.22695104510451045,0.31420127089618033
20,1.5,0.005,30,0.3388038992905729,0.23211881188118808,0.3232838197656147
20,1.5,0.01,30,0.33773618847107106,0.2306320132013201,0.3209566049720849
20,1.5,0.02,30,0.34206145125504456,0.23351320132013198,0.3251000037241384
50,0.5,0.005,30,0.2339188139010324,0.14339603960396036,0.21412215115033192
50,0.5,0.01,30,0.23550424094319197,0.14590924092409233,0.21681487005778055
50,0.5,0.02,30,0.23392280582677225,0.14524092409240918,0.21622908062613008
50,1.0,0.005,30,0.2170679760857785,0.13314837733773374,0.2027617445908555
50,1.0,0.01,30,0.21948841841139122,0.1341307755775577,0.20401282019291522
50,1.0,0.02,30,0.22162059871914283,0.13688682618261822,0.2066584265686403
50,1.5,0.005,30,0.20795282409629828,0.12450055005500546,0.1911759741046323
50,1.5,0.01,30,0.20583678297563993,0.12226952695269523,0.18869679330329847
50,1.5,0.02,30,0.207524836243897,0.12367216721672163,0.1911886008933665
70,0.5,0.005,30,0.19283206721818213,0.10818481848184816,0.17433312050659283
70,0.5,0.01,30,0.1890393160830415,0.10618151815181515,0.1724572833121348
70,0.5,0.02,30,0.18733815411779509,0.10610891089108906,0.17243475375825312
70,1.0,0.005,30,0.18426401146256174,0.09999009900990097,0.16496199460193298
70,1.0,0.01,30,0.18669003967299494,0.10092244224422439,0.16649801735117467
70,1.0,0.02,30,0.18720506837381654,0.10107425742574254,0.16714486856764763
70,1.5,0.005,30,0.18065378691505216,0.0989583333333333,0.16238484934240588
70,1.5,0.01,30,0.17874413116635862,0.09733622112211218,0.16116551475658103
70,1.5,0.02,30,0.17844502629104783,0.0977520627062706,0.16106829783551982
5,0.5,0.005,50,0.4791030474585995,0.37633498349834993,0.45813200266208076
5,0.5,0.01,50,0.47689622376194357,0.3737541254125414,0.4558150432962723
5,0.5,0.02,50,0.4775380410844499,0.37447689768976905,0.4568869601148616
5,1.0,0.005,50,0.4646203099511062,0.3602549504950496,0.4414435055396094
