,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
119,Normalized,,,15,0.005,30,0.42576312292977303,0.31288068947702813
120,Normalized,,,15,0.01,10,0.425502006930381,0.31142638563808184
121,Normalized,,,15,0.01,15,0.427257763880818,0.3123559994702766
122,Normalized,,,15,0.01,30,0.42693534334214556,0.31204738083333716
123,Normalized,,,15,0.02,10,0.4293828970346306,0.3149190935500734
124,Normalized,,,15,0.02,15,0.42607362234675816,0.31157115524255713
125,Normalized,,,15,0.02,30,0.429634307485824,0.3145859724415758
126,tfidf,,,3,0.005,10,0.40140842172693264,0.29017121307199206
127,tfidf,,,3,0.005,15,0.39975163536036107,0.2901009015136143
128,tfidf,,,3,0.005,30,0.4001054817918427,0.2898858974723675
129,tfidf,,,3,0.01,10,0.401289248401803,0.2899014862960358
130,tfidf,,,3,0.01,15,0.3995152287409758,0.2898556249178696
131,tfidf,,,3,0.01,30,0.4001054817918427,0.2898858974723675
132,tfidf,,,3,0.02,10,0.4017630316560107,0.29044749236768125
133,tfidf,,,3,0.02,15,0.3998690751724574,0.289876788038437
134,tfidf,,,3,0.02,30,0.4001054817918427,0.2898858974723675
135,tfidf,,,6,0.005,10,0.4633866800891143,0.35476625871419964
136,tfidf,,,6,0.005,15,0.46480035190171237,0.3554180019517828
137,tfidf,,,6,0.005,30,0.46373143314840687,0.35445117700977563
138,tfidf,,,6,0.01,10,0.46421466346222234,0.3556920517479796
139,tfidf,,,6,0.01,15,0.46468173878184177,0.3551090557682254
140,tfidf,,,6,0.01,30,0.4636129497360845,0.35430512131298125
141,tfidf,,,6,0.02,10,0.46503966320423,0.35629210056500354
142,tfidf,,,6,0.02,15,0.46479994209153447,0.3551715044206123
143,tfidf,,,6,0.02,30,0.46384963645809946,0.3544173494769741
144,tfidf,,,7,0.005,10,0.4720950178347295,0.36057912493044264
145,tfidf,,,7,0.005,15,0.473266782909849,0.3617837790306201
146,tfidf,,,7,0.005,30,0.4735023699088786,0.3623715491312793
147,tfidf,,,7,0.01,10,0.47209549142984386,0.3605482054730401
148,tfidf,,,7,0.01,15,0.473266782909849,0.36172458777378946
149,tfidf,,,7,0.01,30,0.4735023699088786,0.3623715491312793
150,tfidf,,,7,0.02,10,0.4719775682227808,0.3603187410851506
151,tfidf,,,7,0.02,15,0.47267576636138564,0.3614418482473778
152,tfidf,,,7,0.02,30,0.4735023699088786,0.36288888246461265
153,tfidf,,,8,0.005,10,0.47771304227367956,0.3643217629559578
154,tfidf,,,8,0.005,15,0.4795939202012735,0.36593022830844385
155,tfidf,,,8,0.005,30,0.4811259920415525,0.36736131248587683
156,tfidf,,,8,0.01,10,0.47771179215561277,0.364226257249516
157,tfidf,,,8,0.01,15,0.47994701293501124,0.36613398817469495
158,tfidf,,,8,0.01,30,0.4810087587472969,0.36724182056633253
159,tfidf,,,8,0.02,10,0.4778326891939235,0.36446515104780935
160,tfidf,,,8,0.02,15,0.4801826658566527,0.3663348557921693
161,tfidf,,,8,0.02,30,0.4811269620569895,0.3674138589339642
162,tfidf,,,9,0.005,10,0.4770175357186851,0.3669774739258095
163,tfidf,,,9,0.005,15,0.4781913208604748,0.3671434012914455
164,tfidf,,,9,0.005,30,0.4781850129362121,0.36639365692878767
165,tfidf,,,9,0.01,10,0.47725297232263336,0.36707872173660794
166,tfidf,,,9,0.01,15,0.47819257097854156,0.3671294656051544
167,tfidf,,,9,0.01,30,0.4781850129362121,0.366446990262121
168,tfidf,,,9,0.02,10,0.47725297232263336,0.36703160943064894
169,tfidf,,,9,0.02,15,0.47831077428823426,0.36707305852568084
170,tfidf,,,9,0.02,30,0.4781850129362121,0.366446990262121
171,tfidf,,,10,0.005,10,0.48089835571766504,0.3691374308632394
172,tfidf,,,10,0.005,15,0.4794856904435587,0.3679721270629794
173,tfidf,,,10,0.005,30,0.4795951681743326,0.36761548375083575
174,tfidf,,,10,0.01,10,0.4794830866739307,0.3679069564594836
175,tfidf,,,10,0.01,15,0.4787713307290768,0.36750837576500894
176,tfidf,,,10,0.01,30,0.4780575474707137,0.3663971290621527
177,tfidf,,,10,0.02,10,0.47960008405078824,0.36779424043259873
178,tfidf,,,10,0.02,15,0.47888697767987665,0.3674700676194361
179,tfidf,,,10,0.02,30,0.4782969377211993,0.3666068094950613
180,tfidf,,,15,0.005,10,0.4797237501523558,0.3625889409054606
181,tfidf,,,15,0.005,15,0.48054032616278686,0.36199443277809795
182,tfidf,,,15,0.005,30,0.48019396352682414,0.3629230036386695
183,tfidf,,,15,0.01,10,0.47983830810652817,0.3632081003846987
184,tfidf,,,15,0.01,15,0.4810059644462039,0.3622844853570689
185,tfidf,,,15,0.01,30,0.47818013505532847,0.3619958729895575
186,tfidf,,,15,0.02,10,0.4804274451835502,0.36352990873430613
187,tfidf,,,15,0.02,15,0.4813569830048457,0.36220814992328754
188,tfidf,,,15,0.02,30,0.47854507679115016,0.3623390509219623
189,bm25,50.0,0.75,3,0.005,10,0.427855342690126,0.31431645788934975
190,bm25,50.0,0.75,3,0.005,15,0.4270261892347474,0.31561451230407983
191,bm25,50.0,0.75,3,0.005,30,0.42644099277890657,0.31576177082402007
192,bm25,50.0,0.75,3,0.01,10,0.427855342690126,0.3142951954780022
193,bm25,50.0,0.75,3,0.01,15,0.4270261892347474,0.3156322900818576
194,bm25,50.0,0.75,3,0.01,30,0.42644099277890657,0.31576177082402007
195,bm25,50.0,0.75,3,0.02,10,0.4277381093958704,0.31424337114509393
196,bm25,50.0,0.75,3,0.02,15,0.4270261892347474,0.31562136112010897
197,bm25,50.0,0.75,3,0.02,30,0.42644099277890657,0.31577777082402003
198,bm25,50.0,0.75,6,0.005,10,0.47810600709745465,0.3642996289843659
199,bm25,50.0,0.75,6,0.005,15,0.47881218276507764,0.3643052492740654
200,bm25,50.0,0.75,6,0.005,30,0.47845314115767457,0.36401030479210933
201,bm25,50.0,0.75,6,0.01,10,0.47810600709745465,0.36430670310064933
202,bm25,50.0,0.75,6,0.01,15,0.47869397945538494,0.364179012867446
203,bm25,50.0,0.75,6,0.01,30,0.47845314115767457,0.3639954899772945
204,bm25,50.0,0.75,6,0.02,10,0.47810600709745465,0.3642714969212078
205,bm25,50.0,0.75,6,0.02,15,0.4785767461611294,0.36411653522918697
206,bm25,50.0,0.75,6,0.02,30,0.47845314115767457,0.3639954899772945
